Temperature,Pressure,Flow,Efficiency,
100,200,80.29795946,52.1214653,139.0312603
100,300,76.41484388,52.50275669,133.2782416
100,400,72.91633472,52.85113392,128.0220792
100,500,69.77747419,53.1679278,123.2468931
100,600,66.94701566,53.45730045,118.8923186
100,700,64.37709572,53.72331563,114.8983442
100,800,50.33993308,55.24376687,92.38875878
100,900,0.521480595,68.17127265,1.181044023
100,1000,0.12502706,71.10483044,0.295347103
100,1100,5.35E-02,72.83706317,0.129423197
100,1200,1.93E-02,74.91040415,4.81E-02
100,1300,0,<empty>,<empty>
100,1400,0,<empty>,<empty>
100,1500,0,<empty>,<empty>
100,1600,0,<empty>,<empty>
100,1700,0,<empty>,<empty>
100,1800,0,<empty>,<empty>
100,1900,0,<empty>,<empty>
100,2000,0,<empty>,<empty>
120,200,83.15087713,51.84457165,143.2060807
120,300,80.50566806,52.1010668,139.3389364
120,400,77.92812973,52.35334939,135.532816
120,500,75.49591129,52.59363221,131.9069254
120,600,73.2201345,52.8205155,128.4838994
120,700,71.09294344,53.0344766,125.2576803
120,800,69.101425,53.23653387,122.2137274
120,900,67.23207715,53.4278082,119.3357095
120,1000,65.47227053,53.60937312,116.6078326
120,1100,63.81066265,53.78220717,114.0156096
120,1200,62.23723133,53.94718447,111.546038
120,1300,60.74317367,54.10507976,109.1875518
120,1400,50.44421482,55.2317493,92.56358001
120,1500,25.93515137,58.37075008,50.29517107
120,1600,0.561646892,68.01734047,1.269192153
120,1700,0.233578276,69.82569565,0.541868794
120,1800,0.125476962,71.09740365,0.296391755
120,1900,6.67E-02,72.38695406,0.160408437
120,2000,2.82E-02,74.13907895,6.95E-02
140,200,84.67006346,51.69822091,145.4108513
140,300,83.03614921,51.85550504,143.0413124
140,400,81.27954223,52.02562502,140.4766987
140,500,79.51538857,52.19755132,137.8835056
140,600,77.79223168,52.36654942,135.3336327
140,700,76.1291848,52.53068411,132.8568092
140,800,74.53237494,52.68926791,130.4638947
140,900,73.00209238,52.84218337,128.1570772
140,1000,71.53600746,52.98957609,125.9345038
140,1100,70.13067692,53.13170964,123.7924788
140,1200,68.78227103,53.26889452,121.7265452
140,1300,67.48692909,53.40145272,119.7320301
140,1400,66.24093074,53.52969999,117.8043191
140,1500,65.04077341,53.65393737,115.9389928
140,1600,63.88320103,53.77444748,114.1318872
140,1700,62.76520765,53.89149343,112.3791154
140,1800,61.68402814,54.00531904,110.677068
140,1900,60.63712299,54.11614979,109.0224017
140,2000,59.62216048,54.2241941,107.4120231
160,200,85.27005127,51.64062473,146.2781117
160,300,84.36886768,51.72702649,144.9770143
160,400,83.29237624,51.83064209,143.415991
160,500,82.12306155,51.94365283,141.7126501
160,600,80.91391396,52.06101121,139.943058
160,700,79.69662217,52.17967569,138.1531756
160,800,78.48947023,52.29787118,136.3699319
160,900,77.30271582,52.41458411,134.6087925
160,1000,76.14187327,52.52925355,132.8783966
160,1100,75.00965029,52.64158829,131.1833033
160,1200,73.90708648,52.75145906,129.525614
160,1300,72.83422862,52.8588343,127.9059401
160,1400,71.79053674,52.96374128,126.3239898
160,1500,70.77513158,53.06624238,124.778928
160,1600,69.78694719,53.16642018,123.2696015
160,1700,68.82482574,53.26436827,121.7946808
160,1800,67.88757662,53.3601853,120.3527499
160,1900,66.97401311,53.4539713,118.9423641
160,2000,66.08297473,53.54582536,117.5620858
180,200,85.30120864,51.63763687,146.3230946
180,300,84.84420215,51.68134095,145.6650495
180,400,84.25346943,51.73801061,144.811568
180,500,83.56220388,51.80450783,143.8097855
180,600,82.80002435,51.87803116,142.7018165
180,700,81.9908953,51.95630872,141.5218507
180,800,81.15305837,52.03760517,140.2960384
180,900,80.29987713,52.12064344,139.043657
180,1000,79.44090339,52.20450536,137.778595
180,1100,78.58284789,52.28854102,136.5107101
180,1200,77.73035742,52.37229599,135.2469187
180,1300,76.8865991,52.45545646,133.9920186
180,1400,76.05368574,52.53780928,132.749289
180,1500,75.23298058,52.6192132,131.5209225
180,1600,74.42531422,52.69957837,130.3083332
180,1700,73.6311388,52.77885171,129.1123765
180,1800,72.85063782,52.85700652,127.933507
180,1900,72.08380464,52.93403491,126.7718908
180,2000,71.33049883,53.00994249,125.6274879
200,200,85.00821741,51.6657456,145.8998832
200,300,84.78320896,51.68719913,145.5768326
200,400,84.48006918,51.71621398,145.1398672
200,500,84.1078022,51.75193289,144.6018538
200,600,83.6763857,51.79341255,143.9769572
200,700,83.19585681,51.83970522,143.2794164
200,800,82.67566858,51.88991781,142.522658
200,900,82.12430934,51.94324722,141.7187648
200,1000,81.54913674,51.99899593,140.8782402
200,1100,80.95636221,52.05657358,140.0099826
200,1200,80.35112646,52.11549016,139.1213866
200,1300,79.73762021,52.1753448,138.2185096
200,1400,79.11921986,52.23581324,137.3062591
200,1500,78.49862001,52.29663544,136.3885774
200,1600,77.87795361,52.35760446,135.4686089
200,1700,77.25889601,52.41855667,134.5488459
200,1800,76.64275269,52.47936357,133.6312518
200,1900,76.03053161,52.53992499,132.7173627
200,2000,75.42300227,52.60016353,131.8083706
220,200,84.528499,51.71182715,145.2059371
220,300,84.41625288,51.72246895,145.0456589
220,400,84.26285461,51.73710752,144.8251709
220,500,84.07021447,51.75555184,144.5473386
220,600,83.84081149,51.77756398,144.2157319
220,700,83.57751239,51.80287209,143.8344315
220,800,83.28341789,51.83118334,143.4078349
220,900,82.96172838,51.8621959,142.9404763
220,1000,82.61563159,51.89560914,142.4368739
220,1100,82.24821427,51.93113182,141.9014075
220,1200,81.86239779,51.96848801,141.3382286
220,1300,81.46089546,52.00742111,140.7512001
220,1400,81.04618847,52.0476961,140.1438627
220,1500,80.62051661,52.08910048,139.5194202
220,1600,80.18588,52.1314441,138.8807418
220,1700,79.74404858,52.17455833,138.2303739
220,1800,79.29657666,52.21829474,137.5705605
220,1900,78.84482025,52.2625235,136.9032666
220,2000,78.38995566,52.30713164,136.2302035
240,200,83.93250061,51.76918095,144.3420237
240,300,83.87425994,51.77464126,144.2597638
240,400,83.79491976,51.78216898,144.1463547
240,500,83.6947423,51.79172731,144.0023478
240,600,83.57421157,51.80326525,143.8285077
240,700,83.43397515,51.81671913,143.6257895
240,800,83.27481085,51.8320143,143.3953131
240,900,83.09759996,51.84906709,143.1383344
240,1000,82.90330318,51.86778672,142.8562164
240,1100,82.69293808,51.88807728,142.5503994
240,1200,82.46755829,51.90983957,142.2223741
240,1300,82.2282346,51.93297278,141.8736551
240,1400,81.97603826,51.95737608,141.5057588
240,1500,81.71202666,51.98294987,141.1201832
240,1600,81.43723141,52.00959693,140.7183911
240,1700,81.15264869,52.0372233,140.3017972
240,1800,80.85923198,52.06573895,139.8717573
240,1900,80.55788664,52.09505831,139.4295611
240,2000,80.24946635,52.1251006,138.9764265
260,200,83.25769722,51.83425669,143.3615222
260,300,83.22567058,51.83719934,143.3171785
260,400,83.18279549,51.84122268,143.2565488
260,500,83.12899281,51.84632172,143.1797072
260,600,83.06429451,51.85248764,143.086786
260,700,82.98880033,51.8597079,142.9779726
260,800,82.90266119,51.86796646,142.8535074
260,900,82.80607048,51.87724404,142.7136798
260,1000,82.69925811,51.88751831,142.5588245
260,1100,82.5824858,51.89876426,142.3893168
260,1200,82.45604272,51.91095445,142.2055686
260,1300,82.32024152,51.92405935,142.0080231
260,1400,82.17541447,51.93804769,141.7971501
260,1500,82.02190967,51.95288672,141.5734413
260,1600,81.86008757,51.9685426,141.3374055
260,1700,81.69031754,51.98498064,141.0895639
260,1800,81.51297471,52.00216561,140.8304462
260,1900,81.32843706,52.02006203,140.5605861
260,2000,81.13708268,52.03863437,140.2805179
280,200,82.52656708,51.9049323,142.2963442
280,300,82.50760719,51.90661878,142.270923
280,400,82.48301593,51.90888298,142.2367933
280,500,82.45265388,51.91172553,142.1939454
280,600,82.41646229,51.915146,142.1423854
280,700,82.37442153,51.91914294,142.082135
280,800,82.3265366,51.92371387,142.013231
280,900,82.27283065,51.92885533,141.9357253
280,1000,82.21334164,51.93456287,141.8496844
280,1100,82.14812036,51.94083115,141.7551883
280,1200,82.07722898,51.94765391,141.6523309
280,1300,82.00074,51.95502407,141.5412184
280,1400,81.91873537,51.96293373,141.4219691
280,1500,81.83130563,51.97137427,141.2947124
280,1600,81.73854919,51.98033638,141.1595882
280,1700,81.64057155,51.98981012,141.0167457
280,1800,81.53748464,51.99978495,140.866343
280,1900,81.42940606,52.01024985,140.7085458
280,2000,81.31645846,52.02119333,140.5435267
300,200,81.75479889,51.97972823,141.1687577
300,300,81.74253317,51.98077091,141.1530366
300,400,81.72733349,51.98213064,141.1325352
300,500,81.70905577,51.98380853,141.1072367
300,600,81.68762791,51.98580537,141.0771289
300,700,81.66300883,51.98812167,141.042204
300,800,81.63517422,51.99075767,141.0024586
300,900,81.60411041,51.99371327,140.9578938
300,1000,81.56981137,51.9969881,140.9085151
300,1100,81.53227704,52.00058149,140.8543323
300,1200,81.49151233,52.00449252,140.7953596
300,1300,81.44752647,52.00871994,140.7316152
300,1400,81.40033261,52.01326226,140.6631216
300,1500,81.34994744,52.0181177,140.5899052
300,1600,81.29639098,52.02328426,140.5119964
300,1700,81.23968632,52.02875964,140.4294293
300,1800,81.17985948,52.03454134,140.3422416
300,1900,81.11693923,52.04062659,140.2504746
300,2000,81.05095691,52.04701242,140.154173
320,200,80.95462512,52.05748829,139.9961879
320,300,80.94590788,52.05818999,139.9856053
320,400,80.93568397,52.05907037,139.9723283
320,500,80.9238136,52.06013019,139.9563449
320,600,80.91022604,52.06137017,139.9376445
320,700,80.89487909,52.0627909,139.916218
320,800,80.87774498,52.06439292,139.8920574
320,900,80.85880434,52.06617665,139.8651562
320,1000,80.83804319,52.06814242,139.8355093
320,1100,80.81545141,52.0702905,139.8031128
320,1200,80.79102172,52.07262105,139.7679643
320,1300,80.76474915,52.07513413,139.7300626
320,1400,80.73663062,52.07782972,139.6894079
320,1500,80.70666475,52.08070773,139.6460018
320,1600,80.67485159,52.08376795,139.5998471
320,1700,80.64119257,52.08701011,139.550948
320,1800,80.60569032,52.09043384,139.4993099
320,1900,80.56834867,52.0940387,139.4449395
320,2000,80.52917253,52.09782415,139.3878448
340,200,80.13633787,52.13723439,138.7934004
340,300,80.12957305,52.13774905,138.785637
340,400,80.12207569,52.138367,138.7763157
340,500,80.11371036,52.13908872,138.7654292
340,600,80.10440937,52.13991465,138.7529705
340,700,80.09413263,52.14084523,138.7389334
340,800,80.08285372,52.14188084,138.7233118
340,900,80.07055381,52.14302187,138.7061001
340,1000,80.05721887,52.14426865,138.6872932
340,1100,80.04283796,52.14562148,138.6668863
340,1200,80.02740236,52.14708065,138.6448754
340,1300,80.01090497,52.14864642,138.6212564
340,1400,79.99333997,52.15031901,138.596026
340,1500,79.97470257,52.1520986,138.5691813
340,1600,79.95498879,52.15398538,138.5407198
340,1700,79.9341954,52.15597946,138.5106393
340,1800,79.91231981,52.15808097,138.4789383
340,1900,79.88935999,52.16028997,138.4456155
340,2000,79.86531442,52.16260653,138.4106702
360,200,79.30885726,52.21811234,137.5733125
360,300,79.30321595,52.21852005,137.5671613
360,400,79.29727212,52.21898893,137.5600875
360,500,79.29089371,52.21951925,137.5520867
360,600,79.28401548,52.22011128,137.5431549
360,700,79.27659932,52.22076528,137.5332881
360,800,79.26862043,52.22148151,137.5224824
360,900,79.26006138,52.22226021,137.5107342
360,1000,79.25090921,52.22310162,137.49804
360,1100,79.24115387,52.22400596,137.4843963
360,1200,79.23078728,52.22497345,137.4697998
360,1300,79.21980278,52.22600429,137.4542476
360,1400,79.20819476,52.22709868,137.4377365
360,1500,79.19595842,52.2282568,137.4202639
360,1600,79.18308959,52.22947884,137.401827
360,1700,79.16958461,52.23076495,137.3824234
360,1800,79.15544025,52.23211529,137.3620507
360,1900,79.14065367,52.23353001,137.3407066
360,2000,79.1252223,52.23500924,137.3183892
380,200,78.47996773,52.2993698,136.3473197
380,300,78.47501047,52.29971309,136.3421398
380,400,78.46999492,52.30009342,136.3364012
380,500,78.46479152,52.30051094,136.3301014
380,600,78.45933685,52.30096581,136.323238
380,700,78.45359422,52.3014582,136.3158086
380,800,78.44754004,52.30198824,136.3078109
380,900,78.441158,52.3025561,136.2992426
380,1000,78.43443608,52.30316192,136.2901015
380,1100,78.42736512,52.30380585,136.2803855
380,1200,78.41993783,52.30448803,136.2700923
380,1300,78.41214825,52.30520859,136.25922
380,1400,78.40399145,52.30596766,136.2477665
380,1500,78.39546312,52.30676538,136.2357299
380,1600,78.38655961,52.30760188,136.2231082
380,1700,78.37727766,52.30847727,136.2098996
380,1800,78.36761438,52.30939168,136.1961022
380,1900,78.35756718,52.31034522,136.1817144
380,2000,78.3471337,52.311338,136.1667344
400,200,77.65641883,52.38034747,135.1254234
400,300,77.65190859,52.3806493,135.1208689
400,400,77.64748145,52.38097401,135.1159691
400,500,77.6430099,52.3813217,135.1107225
400,600,77.63843182,52.38169246,135.1051277
400,700,77.63371152,52.3820864,135.0991833
400,800,77.62882628,52.38250359,135.092888
400,900,77.62376052,52.38294413,135.0862403
400,1000,77.61850293,52.38340811,135.0792389
400,1100,77.61304497,52.38389562,135.0718824
400,1200,77.60737994,52.38440674,135.0641696
400,1300,77.60150244,52.38494157,135.0560991
400,1400,77.59540803,52.38550019,135.0476696
400,1500,77.58909293,52.38608268,135.03888
400,1600,77.58255392,52.38668911,135.0297288
400,1700,77.57578818,52.38731959,135.0202151
400,1800,77.56879325,52.38797417,135.0103374
400,1900,77.56156688,52.38865295,135.0000947
400,2000,77.55410707,52.389356,134.9894858
420,200,76.84398202,52.46047475,133.9162909
420,300,76.83978904,52.46074765,133.9121727
420,400,76.83576235,52.46103495,133.9078372
420,500,76.83177615,52.46133672,133.9032834
420,600,76.82776935,52.46165302,133.8985104
420,700,76.82370701,52.46198388,133.8935175
420,800,76.81956699,52.46232939,133.8883038
420,900,76.81533422,52.46268958,133.8828684
420,1000,76.81099788,52.46306451,133.8772105
420,1100,76.80654983,52.46345424,133.8713294
420,1200,76.80198378,52.46385881,133.8652242
420,1300,76.79729472,52.46427829,133.8588941
420,1400,76.79247853,52.46471273,133.8523383
420,1500,76.7875318,52.46516217,133.845556
420,1600,76.78245164,52.46562667,133.8385466
420,1700,76.77723554,52.46610629,133.831309
420,1800,76.77188134,52.46660106,133.8238427
420,1900,76.76638709,52.46711104,133.8161469
420,2000,76.76075109,52.46763629,133.8082208
440,200,76.04750047,52.53926606,132.727306
440,300,76.04355275,52.53951695,132.7235201
440,400,76.03982082,52.53977706,132.7195949
440,500,76.03618042,52.54004644,132.71553
440,600,76.03257129,52.5403251,132.7113248
440,700,76.02895907,52.5406131,132.7069789
440,800,76.02532207,52.54091046,132.7024918
440,900,76.02164559,52.54121721,132.6978628
440,1000,76.01791913,52.54153339,132.6930916
440,1100,76.01413482,52.54185903,132.6881776
440,1200,76.01028665,52.54219417,132.6831204
440,1300,76.00636985,52.54253883,132.6779194
440,1400,76.00238055,52.54289305,132.6725741
440,1500,75.99831557,52.54325687,132.6670841
440,1600,75.99417222,52.54363031,132.6614489
440,1700,75.98994822,52.5440134,132.655668
440,1800,75.98564159,52.54440618,132.6497409
440,1900,75.98125061,52.54480868,132.6436671
440,2000,75.97677376,52.54522093,132.6374462
460,200,75.27094554,52.61631663,131.5646297
460,300,75.26720244,52.61654937,131.5611178
460,400,75.26370475,52.61678811,131.5575154
460,500,75.2603296,52.61703286,131.5538223
460,600,75.25701748,52.61728365,131.550038
460,700,75.25373451,52.6175405,131.5461623
460,800,75.25045935,52.61780343,131.5421949
460,900,75.24717756,52.61807246,131.5381355
460,1000,75.24387887,52.61834761,131.5339837
460,1100,75.24055565,52.6186289,131.5297393
460,1200,75.23720204,52.61891635,131.5254018
460,1300,75.23381344,52.61920998,131.5209712
460,1400,75.23038616,52.61950981,131.5164469
460,1500,75.22691714,52.61981587,131.5118287
460,1600,75.22340385,52.62012816,131.5071164
460,1700,75.21984416,52.62044672,131.5023096
460,1800,75.21623621,52.62077157,131.497408
460,1900,75.21257842,52.62110271,131.4924113
460,2000,75.20886938,52.62144017,131.4873192
480,200,74.51748259,52.69129731,130.4332753
480,300,74.51392049,52.6915141,130.4300045
480,400,74.51062147,52.69173483,130.4266742
480,500,74.50746395,52.69195952,130.4232841
480,600,74.50438911,52.69218818,130.4198341
480,700,74.50136349,52.69242083,130.4163239
480,800,74.49836602,52.69265748,130.4127534
480,900,74.49538249,52.69289814,130.4091224
480,1000,74.4924028,52.69314283,130.4054306
480,1100,74.48941947,52.69339155,130.4016779
480,1200,74.4864268,52.69364432,130.3978642
480,1300,74.48342028,52.69390116,130.3939891
480,1400,74.48039632,52.69416208,130.3900525
480,1500,74.47735199,52.69442708,130.3860542
480,1600,74.47428486,52.69469618,130.381994
480,1700,74.47119286,52.6949694,130.3778717
480,1800,74.46807426,52.69524675,130.3736872
480,1900,74.46492753,52.69552823,130.3694403
480,2000,74.46175136,52.69581387,130.3651307
500,200,73.78954453,52.7639485,129.3371989
500,300,73.78614896,52.76415062,129.3341499
500,400,73.78302682,52.76435536,129.3310612
500,500,73.7800578,52.76456274,129.3279327
500,600,73.77718366,52.76477276,129.3247644
500,700,73.77437133,52.76498543,129.3215561
500,800,73.7716,52.76520076,129.3183077
500,900,73.76885565,52.76541876,129.315019
500,1000,73.7661283,52.76563944,129.3116899
500,1100,73.7634106,52.7658628,129.3083204
500,1200,73.76069694,52.76608885,129.3049102
500,1300,73.75798293,52.7663176,129.3014594
500,1400,73.75526504,52.76654906,129.2979676
500,1500,73.75254041,52.76678324,129.2944349
500,1600,73.74980667,52.76702015,129.290861
500,1700,73.74706183,52.76725978,129.287246
500,1800,73.74430421,52.76750216,129.2835896
500,1900,73.74153235,52.76774729,129.2798917
500,2000,73.738745,52.76799517,129.2761522
